year,hemisphere,temp_anom
1850,Northern,-0.3403939394166667
1850,Southern,-0.4121060605833333
1851,Northern,-0.1635227271666667
1851,Southern,-0.28082575775
1852,Northern,-0.11053030275
1852,Southern,-0.35306818191666667
1853,Northern,-0.18022727266666666
1853,Southern,-0.36630303025
1854,Northern,-0.07797727283333333
1854,Southern,-0.4290151515833333
1855,Northern,-0.19528787883333334
1855,Southern,-0.3581515150833333
1856,Northern,-0.38366666675
1856,Southern,-0.3384924243333333
1857,Northern,-0.4119924245
1857,Southern,-0.5173333331666666
1858,Northern,-0.40800757575
1858,Southern,-0.5294166665833333
1859,Northern,-0.21945454558333333
1859,Southern,-0.3551818180833333
1860,Northern,-0.3656363636666667
1860,Southern,-0.33090909091666665
1861,Northern,-0.29923484841666664
1861,Southern,-0.51783333325
1862,Northern,-0.66627272725
1862,Southern,-0.38248484850000003
1863,Northern,-0.198969697
1863,Southern,-0.36478030283333335
1864,Northern,-0.52347727275
1864,Southern,-0.4738257575
1865,Northern,-0.25930303033333335
1865,Southern,-0.31225757575
1866,Northern,-0.21249242408333333
1866,Southern,-0.29889393933333336
1867,Northern,-0.3444772725833333
1867,Southern,-0.3017121211666667
1868,Northern,-0.13322727266666665
1868,Southern,-0.3500378786666667
1869,Northern,-0.1327651515
1869,Southern,-0.39935606075
1870,Northern,-0.20493939383333332
1870,Southern,-0.3517045455
1871,Northern,-0.40287878791666665
1871,Southern,-0.2679848485
1872,Northern,-0.18531818175
1872,Southern,-0.2724621213333333
1873,Northern,-0.29840909075
1873,Southern,-0.31193181816666665
1874,Northern,-0.27213636366666666
1874,Southern,-0.4675000000833333
1875,Northern,-0.5095227274166667
1875,Southern,-0.2863636364166667
1876,Northern,-0.3485378788333333
1876,Southern,-0.42172727266666665
1877,Northern,0.0017045455000000004
1877,Southern,-0.15511363633333333
1878,Northern,0.18663636366666667
1878,Southern,-0.11578787875
1879,Northern,-0.22736363641666668
1879,Southern,-0.23687878791666667
1880,Northern,-0.241219697
1880,Southern,-0.21481818191666666
1881,Northern,-0.24143939391666666
1881,Southern,-0.16119696975
1882,Northern,-0.24586363633333333
1882,Southern,-0.18496212116666666
1883,Northern,-0.3624469696666667
1883,Southern,-0.22996969708333334
1884,Northern,-0.47719696975
1884,Southern,-0.34341666675
1885,Northern,-0.37186363641666664
1885,Southern,-0.41024999991666666
1886,Northern,-0.34278787883333334
1886,Southern,-0.3978636363333333
1887,Northern,-0.36221969691666667
1887,Southern,-0.48186363641666663
1888,Northern,-0.2693560605
1888,Southern,-0.35065909091666664
1889,Northern,-0.14356818191666668
1889,Southern,-0.206969697
1890,Northern,-0.36587121225
1890,Southern,-0.47558333325
1891,Northern,-0.29250757575
1891,Southern,-0.37769696975
1892,Northern,-0.46964393941666666
1892,Southern,-0.44967424233333336
1893,Northern,-0.5476742425
1893,Southern,-0.40500757575
1894,Northern,-0.3791515151666667
1894,Southern,-0.44310606058333335
1895,Northern,-0.371
1895,Southern,-0.41488636375
1896,Northern,-0.15388636383333335
1896,Southern,-0.22218939391666667
1897,Northern,-0.14497727275
1897,Southern,-0.273560606
1898,Northern,-0.28932575741666666
1898,Southern,-0.5383030301666667
1899,Northern,-0.22104545458333333
1899,Southern,-0.35965151516666666
1900,Northern,-0.09646969691666667
1900,Southern,-0.3141590908333333
1901,Northern,-0.12548484841666666
1901,Southern,-0.3961590909166667
1902,Northern,-0.36794696975
1902,Southern,-0.4385151514166667
1903,Northern,-0.40342424241666663
1903,Southern,-0.56077272725
1904,Northern,-0.48731818175
1904,Southern,-0.5558939394166666
1905,Northern,-0.3369999999166667
1905,Southern,-0.4205
1906,Northern,-0.19952272725
1906,Southern,-0.3682424243333333
1907,Northern,-0.47618939391666665
1907,Southern,-0.45851515141666666
1908,Northern,-0.4612121210833333
1908,Southern,-0.5670151515
1909,Northern,-0.45099242408333334
1909,Southern,-0.5976439394166667
1910,Northern,-0.41661363641666666
1910,Southern,-0.5682499998333334
1911,Northern,-0.42214393925
1911,Southern,-0.66986363625
1912,Northern,-0.46742424225
1912,Southern,-0.4138030303333333
1913,Northern,-0.45025
1913,Southern,-0.4029924243333333
1914,Northern,-0.23860606058333333
1914,Southern,-0.2541590908333333
1915,Northern,-0.12972727266666667
1915,Southern,-0.16232575758333334
1916,Northern,-0.38962121208333333
1916,Southern,-0.3833560605
1917,Northern,-0.49682575758333336
1917,Southern,-0.4455530301666667
1918,Northern,-0.35656818183333333
1918,Southern,-0.31342424241666667
1919,Northern,-0.36203787875
1919,Southern,-0.19090151525
1920,Northern,-0.2810833335
1920,Southern,-0.21889393933333334
1921,Northern,-0.1050757575
1921,Southern,-0.27903030316666666
1922,Northern,-0.24756818183333335
1922,Southern,-0.36009848483333334
1923,Northern,-0.23327272741666666
1923,Southern,-0.3271287878333333
1924,Northern,-0.22620454533333334
1924,Southern,-0.3693106060833333
1925,Northern,-0.11926515141666667
1925,Southern,-0.3192878788333333
1926,Northern,-0.012424242333333333
1926,Southern,-0.21078030291666666
1927,Northern,-0.11606060591666667
1927,Southern,-0.30985606066666666
1928,Northern,-0.14418181825
1928,Southern,-0.27499242425000003
1929,Northern,-0.32128787875
1929,Southern,-0.38583333325
1930,Northern,-0.014954545416666664
1930,Southern,-0.26511363625
1931,Northern,0.03192424233333333
1931,Southern,-0.21186363641666667
1932,Northern,-0.07135606066666667
1932,Southern,-0.20875
1933,Northern,-0.24238636366666666
1933,Southern,-0.30993939383333335
1934,Northern,-0.03689393941666666
1934,Southern,-0.23094696975
1935,Northern,-0.09925
1935,Southern,-0.2614393938333333
1936,Northern,-0.04894696966666666
1936,Southern,-0.24753030308333332
1937,Northern,0.07248484833333332
1937,Southern,-0.12825000008333334
1938,Northern,0.10584090908333334
1938,Southern,-0.12190151516666667
1939,Northern,0.04108333333333334
1939,Southern,-0.1467045455
1940,Northern,0.00853787875
1940,Southern,0.01823484858333333
1941,Northern,0.037530303
1941,Southern,-5.530302499999968e-4
1942,Northern,0.022189393916666664
1942,Southern,-0.07922727283333333
1943,Northern,0.10084848483333334
1943,Southern,-0.11425757583333333
1944,Northern,0.18506818183333335
1944,Southern,0.09909848483333333
1945,Northern,0.021507575833333334
1945,Southern,0.02472727275
1946,Northern,0.023371212250000002
1946,Southern,-0.1690757575
1947,Northern,0.01446212125
1947,Southern,-0.09648484841666667
1948,Northern,0.07704545458333334
1948,Southern,-0.1585757575
1949,Northern,-0.028333333250000002
1949,Southern,-0.12715151516666667
1950,Northern,-0.17076515158333333
1950,Southern,-0.18252272733333333
1951,Northern,0.05079545458333333
1951,Southern,-0.15719696975
1952,Northern,0.03900757591666667
1952,Southern,0.02055303025
1953,Northern,0.19913636366666668
1953,Southern,-0.0045227272500000006
1954,Northern,-0.05886363641666666
1954,Southern,-0.2002651515
1955,Northern,-0.08865909083333333
1955,Southern,-0.289840909
1956,Northern,-0.26251515158333333
1956,Southern,-0.269219697
1957,Northern,0.009795454499999998
1957,Southern,-0.02401515141666667
1958,Northern,0.11685606058333334
1958,Southern,-0.023613636416666667
1959,Northern,0.07267424233333333
1959,Southern,-0.038462121083333335
1960,Northern,0.01530303033333333
1960,Southern,-0.11274242433333334
1961,Northern,0.06540909083333334
1961,Southern,0.011878787916666666
1962,Northern,0.08817424233333333
1962,Southern,-0.05959848508333333
1963,Northern,0.14828787883333333
1963,Southern,-0.051560606
1964,Northern,-0.16882575758333332
1964,Southern,-0.27404545458333335
1965,Northern,-0.13359090925
1965,Southern,-0.14640909075
1966,Northern,0.0046590910000000015
1966,Southern,-0.14026515166666667
1967,Northern,0.02677272725
1967,Southern,-0.17381818166666665
1968,Northern,-0.0642651515
1968,Southern,-0.16241666666666668
1969,Northern,-0.0544545455
1969,Southern,0.11848484858333333
1970,Northern,-0.055424242416666665
1970,Southern,0.002401515083333331
1971,Northern,-0.19199242416666668
1971,Southern,-0.17818181808333333
1972,Northern,-0.220439394
1972,Southern,0.09048484858333333
1973,Northern,0.025060606083333332
1973,Southern,0.10071212133333333
1974,Northern,-0.2610454545
1974,Southern,-0.16522727266666667
1975,Northern,-0.12266666675
1975,Southern,-0.17408333325
1976,Northern,-0.2930454545833333
1976,Southern,-0.19012121208333332
1977,Northern,0.03462121208333333
1977,Southern,0.06017424241666667
1978,Northern,-0.055462121249999996
1978,Southern,-0.0668560605
1979,Northern,0.006113636333333334
1979,Southern,0.10799242416666667
1980,Northern,0.0674545455
1980,Southern,0.11625
1981,Northern,0.23541666675
1981,Southern,0.04297727258333334
1982,Northern,-0.030212121166666668
1982,Southern,0.05134090925
1983,Northern,0.16687878783333335
1983,Southern,0.21973484841666666
1984,Northern,-0.08438636358333333
1984,Southern,0.05578787883333333
1985,Northern,-0.13096212125
1985,Southern,0.07034090900000001
1986,Northern,0.024696969916666665
1986,Southern,0.06334090916666667
1987,Northern,0.15301515158333334
1987,Southern,0.23102272716666666
1988,Northern,0.23307575733333333
1988,Southern,0.16340151525
1989,Northern,0.16385606058333332
1989,Southern,0.07272727266666666
1990,Northern,0.41252272716666666
1990,Southern,0.18182575758333333
1991,Northern,0.3163106061666667
1991,Southern,0.1933636365
1992,Northern,0.07387121208333333
1992,Southern,0.13570454541666666
1993,Northern,0.13076515141666667
1993,Southern,0.16697727266666668
1994,Northern,0.27937121216666666
1994,Southern,0.13865909083333333
1995,Northern,0.46974242416666667
1995,Southern,0.17895454541666667
1996,Northern,0.17375757566666666
1996,Southern,0.18825757566666668
1997,Northern,0.4551666665833333
1997,Southern,0.3251136364166667
1998,Northern,0.6135681819166666
1998,Southern,0.46442424241666663
1999,Northern,0.4074469699166667
1999,Southern,0.20418939383333334
2000,Northern,0.40490151525
2000,Southern,0.18671212125
2001,Northern,0.55905303025
2001,Southern,0.3249393938333333
2002,Northern,0.5941060606666667
2002,Southern,0.40189393925
2003,Northern,0.6426818180833334
2003,Southern,0.3736742424166667
2004,Northern,0.60472727275
2004,Southern,0.2919469695833333
2005,Northern,0.7227196970833334
2005,Southern,0.3690833333333333
2006,Northern,0.6744242425
2006,Southern,0.33828030308333334
2007,Northern,0.71199242425
2007,Southern,0.27234090908333336
2008,Northern,0.56827272725
2008,Southern,0.22193939383333333
2009,Northern,0.594310606
2009,Southern,0.41600757566666663
2010,Northern,0.7384393940833334
2010,Southern,0.38234848466666665
2011,Northern,0.5731060605833334
2011,Southern,0.27805303033333334
2012,Northern,0.6270757576666667
2012,Southern,0.3139545455
2013,Northern,0.6740075758333334
2013,Southern,0.35474999991666667
2014,Northern,0.7775378788333334
2014,Southern,0.3820151515833333
2015,Northern,1.030280303
2015,Southern,0.4978863635833333
2016,Northern,1.06306818175
2016,Southern,0.5321363636666666
2017,Northern,0.9221212121666666
2017,Southern,0.43446969691666665
2018,Northern,0.7899242424166667
2018,Southern,0.40612878808333336
2019,Northern,0.9715606059999999
2019,Southern,0.5016590908333334
2020,Northern,1.1178863635833334
2020,Southern,0.42260606041666665
2021,Northern,0.9142045454166667
2021,Southern,0.38112878791666666
