lifespanDays,treatment,fertility
24,high-cost,sterile
24,high-cost,sterile
22,high-cost,sterile
26,high-cost,sterile
26,high-cost,sterile
26,high-cost,sterile
33,high-cost,sterile
33,high-cost,sterile
33,high-cost,sterile
38,high-cost,sterile
22,high-cost,sterile
22,high-cost,sterile
24,high-cost,sterile
24,high-cost,sterile
24,high-cost,sterile
24,high-cost,sterile
24,high-cost,sterile
24,high-cost,sterile
24,high-cost,sterile
24,high-cost,sterile
24,high-cost,sterile
24,high-cost,sterile
24,high-cost,sterile
37,high-cost,sterile
37,high-cost,sterile
37,high-cost,sterile
37,high-cost,sterile
37,high-cost,sterile
37,high-cost,sterile
37,high-cost,sterile
37,high-cost,sterile
37,high-cost,sterile
37,high-cost,sterile
37,high-cost,sterile
37,high-cost,sterile
37,high-cost,sterile
37,high-cost,sterile
37,high-cost,sterile
37,high-cost,sterile
37,high-cost,sterile
37,high-cost,sterile
37,high-cost,sterile
37,high-cost,sterile
37,high-cost,sterile
37,high-cost,sterile
37,high-cost,sterile
37,high-cost,sterile
37,high-cost,sterile
37,high-cost,sterile
37,high-cost,sterile
30,high-cost,sterile
30,high-cost,sterile
30,high-cost,sterile
30,high-cost,sterile
30,high-cost,sterile
23,high-cost,sterile
23,high-cost,sterile
23,high-cost,sterile
23,high-cost,sterile
23,high-cost,sterile
23,high-cost,sterile
23,high-cost,sterile
23,high-cost,sterile
23,high-cost,sterile
23,high-cost,sterile
23,high-cost,sterile
23,high-cost,sterile
23,high-cost,sterile
23,high-cost,sterile
23,high-cost,sterile
23,high-cost,sterile
23,high-cost,sterile
23,high-cost,sterile
23,high-cost,sterile
23,high-cost,sterile
23,high-cost,sterile
23,high-cost,sterile
23,high-cost,sterile
23,high-cost,sterile
23,high-cost,sterile
23,high-cost,sterile
23,high-cost,sterile
29,high-cost,sterile
29,high-cost,sterile
29,high-cost,sterile
29,high-cost,sterile
29,high-cost,sterile
29,high-cost,sterile
29,high-cost,sterile
29,high-cost,sterile
29,high-cost,sterile
29,high-cost,sterile
29,high-cost,sterile
29,high-cost,sterile
29,high-cost,sterile
29,high-cost,sterile
29,high-cost,sterile
29,high-cost,sterile
29,high-cost,sterile
29,high-cost,sterile
29,high-cost,sterile
29,high-cost,sterile
29,high-cost,sterile
29,high-cost,sterile
29,high-cost,sterile
29,high-cost,sterile
29,high-cost,sterile
29,high-cost,sterile
29,high-cost,sterile
29,high-cost,sterile
29,high-cost,sterile
29,high-cost,sterile
36,high-cost,sterile
36,high-cost,sterile
36,high-cost,sterile
36,high-cost,sterile
36,high-cost,sterile
36,high-cost,sterile
36,high-cost,sterile
36,high-cost,sterile
36,high-cost,sterile
36,high-cost,sterile
36,high-cost,sterile
36,high-cost,sterile
38,high-cost,sterile
38,high-cost,sterile
38,high-cost,sterile
38,high-cost,sterile
38,high-cost,sterile
38,high-cost,sterile
38,high-cost,sterile
38,high-cost,sterile
38,high-cost,sterile
38,high-cost,sterile
38,high-cost,sterile
38,high-cost,sterile
38,high-cost,sterile
38,high-cost,sterile
38,high-cost,sterile
32,high-cost,sterile
32,high-cost,sterile
32,high-cost,sterile
32,high-cost,sterile
32,high-cost,sterile
32,high-cost,sterile
32,high-cost,sterile
32,high-cost,sterile
32,high-cost,sterile
32,high-cost,sterile
32,high-cost,sterile
32,high-cost,sterile
32,high-cost,sterile
32,high-cost,sterile
32,high-cost,sterile
32,high-cost,sterile
32,high-cost,sterile
32,high-cost,sterile
32,high-cost,sterile
32,high-cost,sterile
32,high-cost,sterile
25,high-cost,sterile
25,high-cost,sterile
25,high-cost,sterile
25,high-cost,sterile
25,high-cost,sterile
25,high-cost,sterile
25,high-cost,sterile
25,high-cost,sterile
25,high-cost,sterile
25,high-cost,sterile
25,high-cost,sterile
25,high-cost,sterile
25,high-cost,sterile
25,high-cost,sterile
25,high-cost,sterile
25,high-cost,sterile
25,high-cost,sterile
25,high-cost,sterile
22,high-cost,sterile
22,high-cost,sterile
22,high-cost,sterile
22,high-cost,sterile
22,high-cost,sterile
22,high-cost,sterile
22,high-cost,sterile
27,high-cost,sterile
34,high-cost,sterile
34,high-cost,sterile
34,high-cost,sterile
34,high-cost,sterile
34,high-cost,sterile
34,high-cost,sterile
34,high-cost,sterile
34,high-cost,sterile
38,high-cost,sterile
38,high-cost,sterile
38,high-cost,sterile
38,high-cost,sterile
38,high-cost,sterile
34,high-cost,sterile
34,high-cost,sterile
22,high-cost,sterile
22,high-cost,sterile
22,high-cost,sterile
22,high-cost,sterile
25,high-cost,sterile
32,high-cost,sterile
32,high-cost,sterile
38,high-cost,sterile
29,high-cost,sterile
37,high-cost,fertile
24,high-cost,fertile
22,high-cost,fertile
22,high-cost,fertile
22,high-cost,fertile
22,high-cost,fertile
33,high-cost,fertile
26,high-cost,fertile
26,high-cost,fertile
26,high-cost,fertile
26,high-cost,fertile
33,high-cost,fertile
33,high-cost,fertile
33,high-cost,fertile
33,high-cost,fertile
33,high-cost,fertile
33,high-cost,fertile
33,high-cost,fertile
33,high-cost,fertile
33,high-cost,fertile
33,high-cost,fertile
33,high-cost,fertile
38,high-cost,fertile
28,high-cost,fertile
28,high-cost,fertile
22,high-cost,fertile
24,high-cost,fertile
24,high-cost,fertile
24,high-cost,fertile
24,high-cost,fertile
24,high-cost,fertile
24,high-cost,fertile
24,high-cost,fertile
24,high-cost,fertile
24,high-cost,fertile
24,high-cost,fertile
24,high-cost,fertile
24,high-cost,fertile
24,high-cost,fertile
24,high-cost,fertile
24,high-cost,fertile
24,high-cost,fertile
24,high-cost,fertile
37,high-cost,fertile
37,high-cost,fertile
37,high-cost,fertile
37,high-cost,fertile
37,high-cost,fertile
37,high-cost,fertile
37,high-cost,fertile
37,high-cost,fertile
37,high-cost,fertile
37,high-cost,fertile
37,high-cost,fertile
37,high-cost,fertile
37,high-cost,fertile
37,high-cost,fertile
37,high-cost,fertile
37,high-cost,fertile
37,high-cost,fertile
37,high-cost,fertile
37,high-cost,fertile
37,high-cost,fertile
37,high-cost,fertile
37,high-cost,fertile
37,high-cost,fertile
37,high-cost,fertile
37,high-cost,fertile
37,high-cost,fertile
37,high-cost,fertile
37,high-cost,fertile
37,high-cost,fertile
37,high-cost,fertile
37,high-cost,fertile
37,high-cost,fertile
37,high-cost,fertile
30,high-cost,fertile
30,high-cost,fertile
30,high-cost,fertile
30,high-cost,fertile
30,high-cost,fertile
30,high-cost,fertile
30,high-cost,fertile
23,high-cost,fertile
23,high-cost,fertile
23,high-cost,fertile
23,high-cost,fertile
23,high-cost,fertile
23,high-cost,fertile
23,high-cost,fertile
23,high-cost,fertile
23,high-cost,fertile
23,high-cost,fertile
23,high-cost,fertile
23,high-cost,fertile
23,high-cost,fertile
23,high-cost,fertile
23,high-cost,fertile
23,high-cost,fertile
23,high-cost,fertile
23,high-cost,fertile
23,high-cost,fertile
23,high-cost,fertile
23,high-cost,fertile
23,high-cost,fertile
23,high-cost,fertile
23,high-cost,fertile
23,high-cost,fertile
23,high-cost,fertile
23,high-cost,fertile
29,high-cost,fertile
29,high-cost,fertile
29,high-cost,fertile
29,high-cost,fertile
29,high-cost,fertile
29,high-cost,fertile
29,high-cost,fertile
29,high-cost,fertile
29,high-cost,fertile
29,high-cost,fertile
29,high-cost,fertile
29,high-cost,fertile
29,high-cost,fertile
29,high-cost,fertile
29,high-cost,fertile
29,high-cost,fertile
29,high-cost,fertile
29,high-cost,fertile
29,high-cost,fertile
29,high-cost,fertile
36,high-cost,fertile
36,high-cost,fertile
36,high-cost,fertile
36,high-cost,fertile
36,high-cost,fertile
36,high-cost,fertile
36,high-cost,fertile
36,high-cost,fertile
36,high-cost,fertile
36,high-cost,fertile
36,high-cost,fertile
38,high-cost,fertile
38,high-cost,fertile
38,high-cost,fertile
38,high-cost,fertile
38,high-cost,fertile
38,high-cost,fertile
38,high-cost,fertile
38,high-cost,fertile
38,high-cost,fertile
38,high-cost,fertile
38,high-cost,fertile
32,high-cost,fertile
32,high-cost,fertile
32,high-cost,fertile
32,high-cost,fertile
32,high-cost,fertile
32,high-cost,fertile
32,high-cost,fertile
32,high-cost,fertile
32,high-cost,fertile
32,high-cost,fertile
32,high-cost,fertile
32,high-cost,fertile
32,high-cost,fertile
32,high-cost,fertile
32,high-cost,fertile
32,high-cost,fertile
32,high-cost,fertile
32,high-cost,fertile
32,high-cost,fertile
32,high-cost,fertile
32,high-cost,fertile
32,high-cost,fertile
25,high-cost,fertile
25,high-cost,fertile
25,high-cost,fertile
25,high-cost,fertile
25,high-cost,fertile
25,high-cost,fertile
25,high-cost,fertile
25,high-cost,fertile
25,high-cost,fertile
25,high-cost,fertile
25,high-cost,fertile
25,high-cost,fertile
22,high-cost,fertile
22,high-cost,fertile
22,high-cost,fertile
22,high-cost,fertile
22,high-cost,fertile
22,high-cost,fertile
27,high-cost,fertile
27,high-cost,fertile
34,high-cost,fertile
34,high-cost,fertile
34,high-cost,fertile
34,high-cost,fertile
34,high-cost,fertile
34,high-cost,fertile
34,high-cost,fertile
38,high-cost,fertile
38,high-cost,fertile
34,high-cost,fertile
34,high-cost,fertile
34,high-cost,fertile
22,high-cost,fertile
25,high-cost,fertile
25,high-cost,fertile
36,high-cost,fertile
37,low-cost,fertile
37,low-cost,fertile
37,low-cost,fertile
24,low-cost,fertile
24,low-cost,fertile
24,low-cost,fertile
24,low-cost,fertile
24,low-cost,fertile
22,low-cost,fertile
38,low-cost,fertile
38,low-cost,fertile
33,low-cost,fertile
22,low-cost,fertile
26,low-cost,fertile
26,low-cost,fertile
26,low-cost,fertile
26,low-cost,fertile
33,low-cost,fertile
33,low-cost,fertile
33,low-cost,fertile
33,low-cost,fertile
22,low-cost,fertile
24,low-cost,fertile
24,low-cost,fertile
24,low-cost,fertile
24,low-cost,fertile
24,low-cost,fertile
24,low-cost,fertile
24,low-cost,fertile
24,low-cost,fertile
24,low-cost,fertile
24,low-cost,fertile
24,low-cost,fertile
37,low-cost,fertile
37,low-cost,fertile
37,low-cost,fertile
37,low-cost,fertile
37,low-cost,fertile
37,low-cost,fertile
37,low-cost,fertile
37,low-cost,fertile
37,low-cost,fertile
37,low-cost,fertile
37,low-cost,fertile
37,low-cost,fertile
37,low-cost,fertile
30,low-cost,fertile
30,low-cost,fertile
30,low-cost,fertile
23,low-cost,fertile
23,low-cost,fertile
23,low-cost,fertile
23,low-cost,fertile
23,low-cost,fertile
23,low-cost,fertile
29,low-cost,fertile
29,low-cost,fertile
29,low-cost,fertile
29,low-cost,fertile
29,low-cost,fertile
29,low-cost,fertile
29,low-cost,fertile
29,low-cost,fertile
29,low-cost,fertile
29,low-cost,fertile
29,low-cost,fertile
29,low-cost,fertile
29,low-cost,fertile
29,low-cost,fertile
29,low-cost,fertile
38,low-cost,fertile
38,low-cost,fertile
38,low-cost,fertile
32,low-cost,fertile
32,low-cost,fertile
32,low-cost,fertile
32,low-cost,fertile
25,low-cost,fertile
25,low-cost,fertile
25,low-cost,fertile
25,low-cost,fertile
25,low-cost,fertile
25,low-cost,fertile
22,low-cost,fertile
22,low-cost,fertile
22,low-cost,fertile
22,low-cost,fertile
22,low-cost,fertile
22,low-cost,fertile
22,low-cost,fertile
27,low-cost,fertile
27,low-cost,fertile
27,low-cost,fertile
27,low-cost,fertile
27,low-cost,fertile
27,low-cost,fertile
27,low-cost,fertile
27,low-cost,fertile
27,low-cost,fertile
27,low-cost,fertile
34,low-cost,fertile
34,low-cost,fertile
34,low-cost,fertile
34,low-cost,fertile
34,low-cost,fertile
34,low-cost,fertile
34,low-cost,fertile
34,low-cost,fertile
34,low-cost,fertile
34,low-cost,fertile
34,low-cost,fertile
34,low-cost,fertile
38,low-cost,fertile
38,low-cost,fertile
38,low-cost,fertile
38,low-cost,fertile
38,low-cost,fertile
38,low-cost,fertile
38,low-cost,fertile
38,low-cost,fertile
38,low-cost,fertile
38,low-cost,fertile
38,low-cost,fertile
38,low-cost,fertile
38,low-cost,fertile
38,low-cost,fertile
34,low-cost,fertile
34,low-cost,fertile
34,low-cost,fertile
34,low-cost,fertile
34,low-cost,fertile
34,low-cost,fertile
27,low-cost,fertile
27,low-cost,fertile
27,low-cost,fertile
27,low-cost,fertile
27,low-cost,fertile
27,low-cost,fertile
27,low-cost,fertile
22,low-cost,fertile
22,low-cost,fertile
22,low-cost,fertile
22,low-cost,fertile
22,low-cost,fertile
22,low-cost,fertile
22,low-cost,fertile
25,low-cost,fertile
25,low-cost,fertile
25,low-cost,fertile
25,low-cost,fertile
25,low-cost,fertile
25,low-cost,fertile
25,low-cost,fertile
25,low-cost,fertile
25,low-cost,fertile
25,low-cost,fertile
25,low-cost,fertile
32,low-cost,fertile
32,low-cost,fertile
32,low-cost,fertile
32,low-cost,fertile
32,low-cost,fertile
32,low-cost,fertile
38,low-cost,fertile
38,low-cost,fertile
38,low-cost,fertile
38,low-cost,fertile
38,low-cost,fertile
38,low-cost,fertile
38,low-cost,fertile
38,low-cost,fertile
38,low-cost,fertile
36,low-cost,fertile
36,low-cost,fertile
36,low-cost,fertile
36,low-cost,fertile
36,low-cost,fertile
36,low-cost,fertile
36,low-cost,fertile
36,low-cost,fertile
36,low-cost,fertile
36,low-cost,fertile
29,low-cost,fertile
29,low-cost,fertile
29,low-cost,fertile
29,low-cost,fertile
29,low-cost,fertile
29,low-cost,fertile
29,low-cost,fertile
29,low-cost,fertile
29,low-cost,fertile
23,low-cost,fertile
23,low-cost,fertile
23,low-cost,fertile
23,low-cost,fertile
23,low-cost,fertile
23,low-cost,fertile
23,low-cost,fertile
30,low-cost,fertile
30,low-cost,fertile
30,low-cost,fertile
37,low-cost,fertile
37,low-cost,fertile
31,low-cost,fertile
31,low-cost,fertile
31,low-cost,fertile
31,low-cost,fertile
38,low-cost,fertile
38,low-cost,fertile
26,low-cost,fertile
37,low-cost,sterile
37,low-cost,sterile
37,low-cost,sterile
22,low-cost,sterile
38,low-cost,sterile
38,low-cost,sterile
26,low-cost,sterile
26,low-cost,sterile
22,low-cost,sterile
22,low-cost,sterile
24,low-cost,sterile
37,low-cost,sterile
37,low-cost,sterile
37,low-cost,sterile
37,low-cost,sterile
37,low-cost,sterile
37,low-cost,sterile
37,low-cost,sterile
37,low-cost,sterile
37,low-cost,sterile
37,low-cost,sterile
30,low-cost,sterile
30,low-cost,sterile
30,low-cost,sterile
30,low-cost,sterile
23,low-cost,sterile
23,low-cost,sterile
23,low-cost,sterile
23,low-cost,sterile
23,low-cost,sterile
23,low-cost,sterile
23,low-cost,sterile
29,low-cost,sterile
29,low-cost,sterile
29,low-cost,sterile
29,low-cost,sterile
29,low-cost,sterile
29,low-cost,sterile
29,low-cost,sterile
29,low-cost,sterile
29,low-cost,sterile
29,low-cost,sterile
29,low-cost,sterile
29,low-cost,sterile
29,low-cost,sterile
29,low-cost,sterile
29,low-cost,sterile
36,low-cost,sterile
36,low-cost,sterile
36,low-cost,sterile
36,low-cost,sterile
36,low-cost,sterile
36,low-cost,sterile
36,low-cost,sterile
38,low-cost,sterile
38,low-cost,sterile
38,low-cost,sterile
38,low-cost,sterile
38,low-cost,sterile
38,low-cost,sterile
32,low-cost,sterile
32,low-cost,sterile
32,low-cost,sterile
32,low-cost,sterile
32,low-cost,sterile
32,low-cost,sterile
32,low-cost,sterile
32,low-cost,sterile
32,low-cost,sterile
32,low-cost,sterile
32,low-cost,sterile
32,low-cost,sterile
25,low-cost,sterile
25,low-cost,sterile
25,low-cost,sterile
25,low-cost,sterile
25,low-cost,sterile
25,low-cost,sterile
25,low-cost,sterile
22,low-cost,sterile
22,low-cost,sterile
22,low-cost,sterile
22,low-cost,sterile
22,low-cost,sterile
22,low-cost,sterile
22,low-cost,sterile
27,low-cost,sterile
27,low-cost,sterile
27,low-cost,sterile
27,low-cost,sterile
27,low-cost,sterile
34,low-cost,sterile
34,low-cost,sterile
34,low-cost,sterile
34,low-cost,sterile
34,low-cost,sterile
34,low-cost,sterile
34,low-cost,sterile
34,low-cost,sterile
34,low-cost,sterile
38,low-cost,sterile
38,low-cost,sterile
38,low-cost,sterile
38,low-cost,sterile
38,low-cost,sterile
38,low-cost,sterile
38,low-cost,sterile
38,low-cost,sterile
34,low-cost,sterile
34,low-cost,sterile
34,low-cost,sterile
34,low-cost,sterile
34,low-cost,sterile
34,low-cost,sterile
34,low-cost,sterile
34,low-cost,sterile
34,low-cost,sterile
27,low-cost,sterile
27,low-cost,sterile
27,low-cost,sterile
27,low-cost,sterile
27,low-cost,sterile
22,low-cost,sterile
22,low-cost,sterile
22,low-cost,sterile
22,low-cost,sterile
22,low-cost,sterile
22,low-cost,sterile
22,low-cost,sterile
22,low-cost,sterile
25,low-cost,sterile
25,low-cost,sterile
25,low-cost,sterile
25,low-cost,sterile
25,low-cost,sterile
25,low-cost,sterile
25,low-cost,sterile
25,low-cost,sterile
25,low-cost,sterile
25,low-cost,sterile
25,low-cost,sterile
25,low-cost,sterile
25,low-cost,sterile
25,low-cost,sterile
25,low-cost,sterile
25,low-cost,sterile
25,low-cost,sterile
25,low-cost,sterile
25,low-cost,sterile
25,low-cost,sterile
25,low-cost,sterile
32,low-cost,sterile
32,low-cost,sterile
32,low-cost,sterile
32,low-cost,sterile
32,low-cost,sterile
32,low-cost,sterile
32,low-cost,sterile
32,low-cost,sterile
38,low-cost,sterile
38,low-cost,sterile
38,low-cost,sterile
36,low-cost,sterile
36,low-cost,sterile
36,low-cost,sterile
36,low-cost,sterile
36,low-cost,sterile
36,low-cost,sterile
36,low-cost,sterile
29,low-cost,sterile
29,low-cost,sterile
29,low-cost,sterile
29,low-cost,sterile
29,low-cost,sterile
29,low-cost,sterile
29,low-cost,sterile
29,low-cost,sterile
29,low-cost,sterile
29,low-cost,sterile
29,low-cost,sterile
29,low-cost,sterile
29,low-cost,sterile
29,low-cost,sterile
29,low-cost,sterile
29,low-cost,sterile
29,low-cost,sterile
29,low-cost,sterile
29,low-cost,sterile
29,low-cost,sterile
23,low-cost,sterile
23,low-cost,sterile
23,low-cost,sterile
30,low-cost,sterile
30,low-cost,sterile
30,low-cost,sterile
37,low-cost,sterile
37,low-cost,sterile
37,low-cost,sterile
37,low-cost,sterile
31,low-cost,sterile
24,low-cost,sterile
24,low-cost,sterile
24,low-cost,sterile
24,low-cost,sterile
24,low-cost,sterile
24,low-cost,sterile
24,low-cost,sterile
24,low-cost,sterile
28,low-cost,sterile
35,low-cost,sterile
38,low-cost,sterile
26,low-cost,sterile
